id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
90676,Short North - Italianate Cottage,483306,Lacey,,Near North/University,39.98366,-83.00252,Entire home/apt,128,1,868,2025-09-22,5.11,3,155,79,2022-2475
591101,Bellows Studio Loft  Apartment,2889677,Gail,,Near East,39.96041,-82.98005,Private room,112,2,342,2025-09-13,2.14,1,339,27,2019-1230
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01259,-83.00164,Private room,105,1,82,2025-06-01,0.56,5,292,3,2019-1314
1183297,Hannah's Haus**Prime location in German Village**,6473080,Samuel,,Near South,39.95164,-82.99434,Entire home/apt,253,30,87,2025-08-17,1.80,3,288,2,
1217678,Comfortable rooms in Clintonville 1,5707733,Russell Allen,,Clintonville,40.03869,-83.01728,Private room,74,1,283,2025-09-14,1.90,2,342,32,2025-2824
1286887,"The Red Stable German Village Airbnb, entire home!",78761,Jeffery,,Near South,39.94548,-82.99245,Entire home/apt,181,3,196,2025-08-09,1.33,1,269,9,2019-1888
1321192,Downtown! Beautiful Historic Old Oaks Home!,5856018,Luke,,Near South,39.95288,-82.96715,Entire home/apt,270,1,68,2020-11-01,0.47,2,352,0,
1336145,Comfortable rooms in Clintonville 2,5707733,Russell Allen,,Clintonville,40.0369,-83.01677,Private room,74,1,223,2025-09-14,1.52,2,349,22,2023-4020
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98744,-83.01632,Entire home/apt,150,30,35,2024-06-23,0.25,3,279,0,2019-1846
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.98576,-83.01092,Entire home/apt,155,30,42,2024-10-27,0.30,3,40,1,2019-1847
2227278,German Village Getaway,11366166,Tina,,Near South,39.94092,-82.98748,Entire home/apt,258,3,4,2025-07-13,0.04,1,291,1,2019-1536
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98675,-83.01279,Entire home/apt,186,30,46,2025-05-30,0.34,3,287,3,2019-1848
2349920,Eclectic Short North Escape. FREE Parking!,10776491,Catherine,,Near North/University,39.98596,-83.00282,Entire home/apt,206,2,231,2025-08-17,1.63,1,324,13,2019-2361
3193181,LUXURY LIVING on a budget,16184897,Lotoya,,South Linden,40.00681,-82.9734,Entire home/apt,70,30,163,2025-08-08,1.18,5,60,2,2019-2084
3731977,Relaxation Near Easton + Theater Room!,18986310,Alissa,,Rocky Fork-Blacklick,40.08947,-82.88701,Private room,56,30,60,2024-08-10,0.48,1,273,0,2019-1826
3750603,Private bedroom downtown! Historic Old Oaks,5856018,Luke,,Near South,39.95175,-82.96688,Private room,72,1,21,2020-07-16,0.15,2,10,0,
3940646,The Manor-  3rd FL. Loft Apt. - Close to Downtown,19532241,Michelle,,Near East,39.9659,-82.97557,Entire home/apt,80,1,567,2025-09-06,5.52,3,213,76,2021-2912
3975468,"Serial Entrepreneur-Ship (""S.E.S"")",16184897,Lotoya,,South Linden,40.00709,-82.97442,Private room,60,30,68,2023-10-22,0.51,5,90,0,2019-2083
4679761,King Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01257,-83.00159,Private room,116,1,87,2025-07-06,0.77,5,279,13,2019-1314
5297763,Family Friendly + Fairground/OSU + K9s Welcome,27439453,Ingrid & Mike,,Near North/University,39.98849,-83.00129,Entire home/apt,114,2,491,2025-09-21,3.91,15,241,26,2021-3068
5820556,Pet Friendly Ext Stay Short North/OSU!,119415,Douglas,,Near North/University,39.98992,-83.00427,Entire home/apt,130,5,171,2025-09-14,1.35,1,350,6,2019-1145
5854666,Nice BD/ off street parking/Shabat,25144683,Yizhar Joe,,Eastmoor/Walnut Ridge,39.9679,-82.92291,Private room,79,2,8,2019-08-11,0.07,1,365,0,
6214751,1 Bedroom Lower Level Apartment,31349526,Bill,,Near East,39.96606,-82.96446,Entire home/apt,83,1,137,2019-05-26,1.09,1,9,0,2019-1524
6391158,"Your  Home in Columbus ,Ohio 43230",33321292,Figen,,Rocky Fork-Blacklick,40.0636,-82.8546,Private room,60,1,259,2025-09-02,2.06,2,361,22,2019-2706
6416756,Your home in Columbus 43230,33321292,Figen,,Rocky Fork-Blacklick,40.06335,-82.85319,Private room,69,1,214,2025-09-19,1.71,2,360,23,2019-2706
6624355,Artist paradise by the River,28808319,Heidi,,Clintonville,40.02752,-83.02348,Entire home/apt,76,1,108,2025-09-10,0.93,1,332,61,
6805322,The Short S.T.O.P.P,16184897,Lotoya,,South Linden,40.00632,-82.97504,Shared room,43,30,47,2020-03-01,0.38,5,90,0,2019-2083
6883920,SERENITY in NW Columbus!,11363908,Brenda And Steven,,Hayden Run,40.06479,-83.12121,Entire home/apt,267,2,86,2025-08-31,0.69,1,346,11,
6924472,Quiet 3rd Flr Room Blocks to OSU Campus+Med Center,24519205,Darrin,,Near North/University,39.99228,-83.01179,Private room,56,1,455,2025-08-31,3.81,9,354,97,2019-1235
7061726,Fairground/OSU + K9s Welcome | Family Friendly,27439453,Ingrid & Mike,,Near North/University,39.9883,-83.00101,Entire home/apt,131,2,495,2025-09-21,3.99,15,253,19,2021-3069
7474783,Private Bedroom/Bathroom Close to Downtown,39147286,David,,Near East,39.96348,-82.9519,Private room,71,1,182,2025-09-21,4.29,1,334,60,2021-3126
7564891,Tulsa #3 Nicely Priced Bedroom,39662644,Paul,,Northland,40.06467,-82.98839,Private room,26,30,16,2023-10-01,0.13,15,165,0,
